trip_headsign,freq
JD. RECANTO VERDE SOL,1
STA. ETELVINA II B6,1
JD. PALANQUE,1
VL. GUARANI,1
JD. ALTO PAULISTANO,1
VL. IOLANDA II,1
JD. LAJEADO,1
JD. ETELVINA,1
PQ. COCAIA,1
VL. AMERICANA,1
METRÔ PARADA INGLESA,1
MANDAQUI,1
JD. CABUÇU,1
JD. CORISCO,1
JD. PERY,1
VL.NOVA CACHOEIRINHA,1
VL. DIONISIA,1
VL. ZILDA,1
JD. TREMEMBÉ,1
TATUAPÉ,1
JD. MARINA,1
JD. GUANCÃ,1
CANTAREIRA,1
JD. JOANA D'ARC,1
CEM. PQ. DA CANTAREIRA,1
TIETÊ,1
VL. IÓRIO,1
CORREIO,1
CPTM PIRITUBA,1
VL. ROSA,1
CEM. DO HORTO,1
CHÁC. MARIA TRINDADE,1
TERM. JD. BRITÂNIA,1
JD. HEBRON,1
VL. AURORA,1
VL. MARIETA,1
VL. MEDEIROS,1
OLIVEIRINHA,1
CONJ. JOSÉ BONIFÁCIO,1
VL. CURUÇÁ,1
VL. NOVA CURUÇÁ,1
JD. SÃO MARTINHO,1
JD. STO. ANTÔNIO,1
VL. SÃO FRANCISCO,1
JD. COIMBRA,1
CERET,1
DIV. DE FERRAZ,1
CID. KEMEL,1
JD. CAMPO LIMPO,1
VL. AYROSA,1
VL. NOVA GALVÃO,1
SANTANA,1
JD. LABITARY,1
JD. BANDEIRANTES,1
PQ. PAINEIRAS,1
SHOP.D,1
CID. KEMEL I,1
CONJ. DOS BANCÁRIOS,1
VL. AMÉLIA,1
JD. SÃO JOSÉ,1
RECANTO VERDE SOL,1
JD. LIMOEIRO,1
CPTM D. BOSCO,1
AMERICANÓPOLIS,1
LGO. CAMBUCI,1
VL. ALPINA,1
REFÚGIO STA. TEREZINHA,1
CID. DUTRA,1
METRÔ BRÁS,1
VICENTE RAO,1
SESC/ORION,1
DIV. DIADEMA,1
VL. IMPÉRIO,1
MASCARENHAS DE MORAIS,1
PQ. SÃO LUCAS,1
BALN. SÃO FRANCISCO,1
PÇA. D. GASTÃO,1
PQ. BELÉM,1
CID. ADEMAR,1
HOSP. SÃO PAULO,1
PQ. BRISTOL,1
VL. BRASILINA,1
VL. CDE. DO PINHAL,1
JD. MARIA ESTELA,1
VL. JOANIZA,1
JD. PATENTE,1
DIV. DE SÃO CAETANO,1
JD. WALKIRIA,1
VL. MISSIONÁRIA,1
JD. ALFREDO,1
JD. SÃO BENTO NOVO,1
CEU CAPÃO REDONDO,1
JD. TRÊS ESTRELAS,1
JD. MONTE AZUL,1
COHAB JD. SÃO BENTO,1
UNISA-CAMPUS 1,1
RIVIERA,1
JD. GRAUNA,1
JD. ICARAÍ,1
JD. NOVA ERA,1
JD. PORTO VELHO,1
CID. JÚLIA,1
VL. CALÚ,1
PQ. INDEPENDÊNCIA,1
CHÁC. STA. MARIA,1
JD. COPACABANA,1
JD. HERCULANO,1
HOSP. PEDREIRA,1
VL. CLARA,1
VL MATIAS,1
DIV. SÃO CAETANO,1
PEDREIRA,1
METRÔ ALTO DO IPIRANGA,1
JD. SÃO ROBERTO,1
VL. STA. MARGARIDA,1
ITAQUERA,1
VL. DAS MERCÊS,1
OBJETIVO UNIP,1
FAZENDA DA JUTA,1
DIV. DE MAUÁ,1
MORRO DO CRUZEIRO,1
VL. CHUCA,1
JD. NOVO HORIZONTE,1
JD. VL. CARRÃO,1
JD. IGUATEMI,1
JD. CIBELE,1
JD. VL. NOVA,1
VL. SOLANGE,1
CPTM JD. ROMANO,1
GLEBA DO PESSEGO,1
COHAB BARRO BRANCO,1
RES. STA. BÁRBARA,1
JD. IVA,1
3A. DIVISÃO,1
COHAB PRESTES MAIA,1
JD. SANTANA,1
CPTM ERMELINO MATARAZZO,1
JD. LARANJEIRA,1
NOVA CONQUISTA,1
PQ. BOA ESPERANÇA,1
ÁGUA FUNDA,1
VL. NHOCUNÉ,1
HOSP. HELIÓPOLIS,1
JD. SÃO JORGE,1
VL. ROMANA,1
HELIÓPOLIS,1
LAR ESC. SÃO FRANCISCO,1
JD. ELBA,1
IBIRAPUERA,1
